fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Nov,15,KARNATAKA,1520,KOPPAL,4419156,253.200722529549,37,1608,3065.680450948,13305,0,12726,4415335,740552,88852,665368,74793,302.92,14548.260573048,118197,241828,166233,515736,661,280607,854641,26031,11179.6601221,2179332,77,80.61,81.3,100.66,NA
2020-2021,Nov,15,KARNATAKA,1522,MYSURU,3405476,265.970589716937,41,245,1447.158003561,8186,0,16330,3398851,554136,74263,330241,43760,0,10487.102051861,82498,163236,143930,380070,843,295464,773839,24516,9039.9440483,1600518,78,64.46,62.94,104.07,NA
2020-2021,Nov,15,KARNATAKA,1523,RAICHUR,8463044,246.608617397062,43,632,14734.5365973499,13282,0,20002,8450727,1436980,106618,1824961,132185,510.05,36084.8076120501,196060,400852,241441,623807,583,314404,783796,33284,20840.2210147002,4303340,63,66.65,73.08,102.89,NA
2020-2021,Nov,15,KARNATAKA,1524,SHIVAMOGGA,3397188,272.016003025954,32,561,1849.577571596,6726,0,15566,3395954,671033,84787,155676,18785,220,11307.115906996,102985,187778,152622,392164,386,225404,536811,22292,9237.53833540001,1664775,74,83.04,83.68,101.94,NA
2020-2021,Nov,15,KARNATAKA,1526,UDUPI,469950,264.757974375839,34,41,268.516639317,1967,1,6312,469791,22055,4681,22352,4500,58.09,1570.415774717,13485,23969,31924,77528,184,77057,169292,8279,1243.8091354,286994,91,81.32,69.76,100.45,NA
2020-2021,Nov,15,KARNATAKA,1530,Yadgir,2804833,262.85300920677,37,178,1221.447217705,6233,0,18347,2770461,557920,45996,284795,22933,167.5,8671.18732510498,74425,115704,116068,228092,498,226189,458121,24580,7282.24010739998,1383390,72,79.95,80.16,101.57,NA
2021-2022,March,15,KARNATAKA,1508,CHAMARAJA NAGARA,3349977,288.050107077615,37,780,1734.934479904,10119,0,12522,3341408,937077,85906,293355,32567,349.92483,11709.788631804,89403,156836,131500,307421,416,218786,513004,22641,9624.92932189999,1737689,76,79.65,74.28,100.78,NA
2021-2022,March,15,KARNATAKA,1517,HAVERI,5812171,289.98701739555,51,655,6984.98559546897,25957,0,8517,5905188,751155,53894,669700,41540,371.715,24480.9791482689,115011,233418,150159,368961,13336,251275,600887,34474,17124.2785527999,2646826,80,55.81,62.2,100.63,NA
2021-2022,March,15,KARNATAKA,1524,SHIVAMOGGA,3950535,289.523968397507,37,663,4040.70715128003,14203,1,13044,4037403,778651,86303,190546,19124,429.12622,16159.08275708,108371,199923,159806,404885,5037,236062,561207,27247,11689.2493858,1994138,74,76.28,79.98,101.08,NA
2020-2021,June,15,KARNATAKA,1501,BAGALKOTE,1325301,222.101114698814,24,973,2172.066197849,3196,0,17881,1324277,189778,48244,78871,20253,0,5113.30017654901,54852,92222,122865,285422,107,213502,475933,21077,2941.23397870001,638367,66,58.05,65.07,100.97,NA
2020-2021,June,15,KARNATAKA,1516,HASSAN,1503818,218.509424644802,32,185,19.405116,974,0,21385,1493321,200896,62985,22017,7037,100,3382.4522412,45255,85521,156485,395967,117,253281,614428,22359,3263.0471252,721851,75,72.56,70.26,103.08,NA
2020-2021,June,15,KARNATAKA,1523,RAICHUR,4888611,189.042562386575,29,527,6215.67345615799,4058,0,21438,4881539,812889,105489,1086398,130634,0.05,15443.909865658,164620,333251,237619,616766,64,306867,769458,25496,9228.1864095,2512192,61,78.5,82.93,100.59,NA
2020-2021,June,15,KARNATAKA,1525,TUMAKURU,2153377,237.948304827417,29,456,4260.053862735,4766,1,33358,2151834,272946,79688,147868,40476,100,9480.306388435,72248,133969,201223,524524,95,402436,1008645,38124,5120.2525257,1036089,81,78.93,68.02,100.02,NA
2021-2022,Aug,15,KARNATAKA,1501,BAGALKOTE,3467694,271.353375153662,33,2329,2891.14259372999,12832,0,23736,3460041,530612,56190,230409,23302,411.44,12691.5206289305,102918,179741,149153,333776,487,249097,543809,36568,9388.93803520052,1754535,70,55.1,68.8,99.96,NA
2021-2022,Aug,15,KARNATAKA,1502,BENGALURU,26730,256.672959674009,27,10,121.315165891,593,12,2064,26013,5564,4073,285,455,45.5,233.583502891,955,1808,6644,16393,1,50690,124335,2657,66.768337,11685,87,67.77,61.68,104.35,NA
2021-2022,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1960446,272.211751237975,27,649,16.2,4094,0,16753,1957027,551656,85760,179808,32479,249.19483,5592.6522989,71840,122573,130975,306482,97,216488,509834,20847,5327.2574689,1020324,76,89.9,81.52,100.35,NA
2021-2022,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,4069885,273.750197950323,42,3069,3539.90084401,13929,0,32649,4058493,863685,80924,531796,49248,275,14925.03346531,94483,177146,139572,354679,958,216126,545271,46578,11110.1326213,2058883,80,73.47,77.93,100.24,NA
2021-2022,Aug,15,KARNATAKA,1531,VIJAYANAGARA,4812989,264.025953730445,44,756,1918.96432283795,8163,0,22053,5306253,1302641,111073,1118043,88393,0,15928.8494134383,120003,249239,159568,440829,1679,230080,633250,30216,14009.8850906003,2641332,66,83.81,92.96,100.06,NA
2023-2024,May,15,KARNATAKA,1501,BAGALKOTE,1528145,248.065649247945,22,1533,657.4225433,1709,0,29016,1528145,253817,59764,122526,25910,15.30063,4463.52598900001,67953,114593,154958,338364,50,264562,568408,30725,3790.80281570001,818129,58,31.54,25.9,99.75,NA
2023-2024,May,15,KARNATAKA,1510,CHITRADURGA,690827,181.470325856766,14,149,36.89286,1994,2,45187,690825,132763,96166,165702,90549,130.64853,1421.1837686,46220,72268,182984,442182,0,325171,780132,47181,1253.6423786,373068,58,22.95,39.82,100.92,NA
2023-2024,May,15,KARNATAKA,1511,DAKSHINA KANNADA,307994,247.887749499961,26,45,335.7481556,3991,0,22254,307976,19030,12298,19232,11637,32.80852,1131.991451,11442,18601,71254,165147,8,165710,352692,26245,763.4347754,163355,90,57.75,2.86,100.01,NA
2023-2024,May,15,KARNATAKA,1514,GADAG,2358532,276.166271325448,29,936,32.66214,1018,0,24577,2356926,347304,56894,213115,25935,4.71046,6546.40725210002,79485,167477,122472,311315,84,162649,401920,25595,6509.03465210002,1128775,71,13.61,68.97,99.92,NA
2023-2024,May,15,KARNATAKA,1515,KALABURAGI,2289744,225.875889789148,18,592,6.12,2993,0,38094,2288722,602961,142412,51483,10740,135.81927,5311.61045229999,124455,212148,249248,542514,7,411593,884746,41087,5169.67118229999,1273757,62,18.48,48.16,99.84,NA
2023-2024,May,15,KARNATAKA,1518,KODAGU,68952,284.091566461216,21,31,0,72,1,7059,68792,6558,8231,2904,4137,0,195.4322704,3259,5177,31741,75506,0,86452,189207,7131,195.4322704,35434,77,18.49,14.83,100.02,NA
2023-2024,May,15,KARNATAKA,1520,KOPPAL,3983697,217.669516449665,26,2943,2220.25535048316,2259,0,50530,3983515,647409,95696,566858,78879,66.30793,10957.461118683,152567,315595,220171,563436,132,317322,872065,52789,8670.89783819988,2075258,70,12.87,72.91,99.75,NA
2023-2024,May,15,KARNATAKA,1529,RAMANAGARA,581573,219.937660888003,20,101,3396.61530984798,19240,1,84596,581507,79859,53656,9207,5503,64.53984,4740.10804354798,28169,43435,147913,328911,4,198597,446264,103836,1278.9528937,306776,90,29.53,13.92,100.06,NA
2021-2022,Oct,15,KARNATAKA,1506,BIDAR,4185496,286.787391685105,37,500,3509.63232745802,8090,0,21505,4167894,973689,76996,687575,47801,220.73,15683.356818258,109809,188392,141516,289207,188,237659,478703,29595,11952.9944908,2171366,59,64.32,72.11,102.65,NA
2021-2022,Oct,15,KARNATAKA,1507,VIJAYPURA,4348343,284.604386884483,37,930,5039.06722471301,11480,1,27191,4320287,770198,71525,52985,4715,483.27,17818.063552713,114420,197105,162047,360682,646,321123,758059,38671,12295.726328,1988767,77,72.46,87.92,100.38,NA
2021-2022,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,2594677,278.882266689598,31,716,21.96,4685,0,16916,2587390,729214,85863,236630,32544,249.19483,7486.92671009999,80900,140012,131347,307148,217,217684,511646,21601,7215.77188009999,1345548,76,89.01,81.92,100.58,NA
2021-2022,Oct,15,KARNATAKA,1509,CHIKKAMAGALURU,2205766,279.164395715638,41,191,2071.159730038,12453,0,27742,2204856,338663,44903,70906,8903,63,8289.33265883799,53150,102446,94339,233797,490,161009,379220,40195,6155.1729288,1123614,71,79.29,81.01,100.1,NA
2021-2022,Oct,15,KARNATAKA,1515,KALABURAGI,5307483,287.043417596966,28,635,3237.83600948301,7932,2,46375,5275546,1247244,125923,74565,7026,369.15,18750.093544783,182446,324752,230806,513970,157,399893,892767,54307,15143.1075353,2712123,62,79.65,88.14,100.39,NA
2021-2022,Oct,15,KARNATAKA,1520,KOPPAL,6642090,269.168651937845,41,2309,2144.13368147,6839,0,26419,6612351,1094367,86856,962268,72930,446.17,20388.6797295686,158172,336115,193750,515129,1205,301371,898168,33258,17798.3760480986,3380380,74,87.38,89.29,99.95,NA
2021-2022,Oct,15,KARNATAKA,1524,SHIVAMOGGA,2960472,282.295615297721,30,607,2349.01695564602,9251,1,16399,2954976,579856,86207,140666,19095,252.73661,10943.521246746,97913,177611,159409,404168,255,234707,559423,25650,8341.7676811,1462466,75,78.57,81.41,100.71,NA
2021-2022,Oct,15,KARNATAKA,1526,UDUPI,574112,288.499843678417,36,42,831.255430337,4829,0,8217,574073,28212,5049,24874,4984,99.5,2586.955137937,15859,28463,37155,89957,179,101482,212647,13046,1656.1997076,349532,87,82.11,69.47,100,NA
2024-2025,Oct,15,KARNATAKA,1517,HAVERI,3367794,335.500666460826,37,441,2227.323643805,22690,0,23550,2879254,418037,54555,389205,43914,399.82405,12287.064052905,76880,142073,154293,375170,355,272718,620102,46240,9659.91635909999,1412994,68,33.92,36.46,100.17,NA
2024-2025,Oct,15,KARNATAKA,1518,KODAGU,359238,334.546758368285,35,81,235.477769472,3774,1,3522,301376,26525,7083,13582,3752,124.96521,1368.686617972,8609,14280,28285,67474,32,87877,191291,7296,1008.2436385,155325,78,53.84,18.08,99.96,NA
2024-2025,Oct,15,KARNATAKA,1520,KOPPAL,5947819,305.066022063398,33,3203,1805.240749174,16431,0,25540,5978587,1045807,97966,883834,80326,616.19182,20660.0701056734,176951,366295,224024,576053,274,325250,844486,41971,18238.6375364994,3153180,57,28.89,58.7,99.86,NA
2024-2025,Oct,15,KARNATAKA,1521,MANDYA,1736350,339.61473935011,26,281,1615.698521256,11879,0,26174,1266891,158335,39690,8410,2456,362.60121,6280.84829875599,47937,71383,139939,340969,74,347096,749278,38053,4302.5485675,775608,71,37.89,32.29,100,NA
2024-2025,Oct,15,KARNATAKA,1512,DAVANAGERE,2257322,338.634315419904,31,221,2418.197372361,11311,0,12990,1586184,406876,64554,292761,43927,374.81845,8164.37915206105,50474,86045,119665,280127,212,238538,521756,24301,5371.36332970005,847047,76,35.11,35.24,99.91,NA
2024-2025,Oct,15,KARNATAKA,1520,KOPPAL,5947819,304.83581918971,33,3200,1805.240749174,16251,0,25639,5945027,1040606,97941,881166,80319,616.19182,20544.0043256734,176800,365815,223993,575911,273,325239,844412,41890,18122.5717564994,3136795,57,28.86,58.72,99.86,NA
2024-2025,Oct,15,KARNATAKA,1521,MANDYA,1736350,339.003306270678,26,279,1615.698521256,11842,0,26159,1256467,156801,39673,8371,2456,362.60121,6237.76440345599,47769,71068,139906,340888,73,347085,749245,38001,4259.4646722,769542,71,37.86,32.27,99.99,NA
2024-2025,Oct,15,KARNATAKA,1524,SHIVAMOGGA,2164752,324.173232204973,24,459,1216.296103173,10480,0,13771,1627140,376207,83689,91278,18591,295.50556,6786.553993673,66682,112469,145432,372258,94,248068,569172,24251,5274.7523305,895638,76,36.86,42.58,99.98,NA
2024-2025,Oct,15,KARNATAKA,1525,TUMAKURU,3264154,346.554462180852,36,445,4920.55349990901,42946,0,45542,3236469,450686,78948,270965,40478,578.05151,16714.732746509,89564,155039,211419,503088,596,398699,879650,88488,11216.1277366,1664440,84,39.36,34.8,99.83,NA
2024-2025,Oct,15,KARNATAKA,1528,CHIKKABALLAPURA,2250485,340.294821894521,33,1719,2345.546719906,12058,0,24874,1565926,314288,76570,214609,46531,331.74315,8006.054962606,47298,80088,131715,331065,201,222846,537008,36932,5328.7650927,835989,77,43.96,25.07,100,NA
2024-2025,Oct,15,KARNATAKA,1530,Yadgir,3255057,334.142201415281,27,492,477.778095223,18992,0,27375,2353595,444596,65584,293719,36273,0,8342.13224062298,85459,131260,153799,305946,89,274085,544614,46367,7864.35414539998,1259188,79,46.43,45.79,99.85,NA
2024-2025,Oct,15,KARNATAKA,1531,VIJAYANAGARA,5791425,307.026204562438,43,1228,2908.30006511,15204,0,18773,5557873,1353713,115039,1260764,93594,81.19368,20053.6202714105,128727,246810,174135,460061,1301,250501,646256,33977,17064.1265263005,2891060,53,14.15,63.96,100.11,NA
2024-2025,Oct,15,KARNATAKA,1519,KOLAR,2900527,343.764356056454,40,427,3476.685359407,12581,0,27537,2425958,626161,85788,162334,21957,257.73108,12073.995336307,59900,93961,127479,319487,306,243436,581922,40118,8339.57889690002,1301417,64,41.26,27.98,99.86,NA
2024-2025,Oct,15,KARNATAKA,1520,KOPPAL,5947819,304.828367637601,33,3203,2554.580068968,16461,0,25521,5992450,1049397,97975,883968,80328,616.19182,21437.4594054674,177028,366520,224037,576090,274,325276,844541,41982,18266.6875164994,3160462,57,28.83,58.79,99.87,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,273.853643175111,39,1038,3646.068161524,21158,0,31051,9138729,1611969,124559,2188988,153712,701.23845,29374.0489179244,228895,449035,282063,655801,590,372079,835229,52209,25026.7423064004,4780616,56,22.83,59.52,99.82,NA
2024-2025,Oct,15,KARNATAKA,1530,Yadgir,3255057,337.822203195909,27,495,718.191579686,19011,0,27473,2382607,449773,65587,296681,36276,0,8767.16704058596,85800,131833,153811,305946,98,274105,544641,46484,8048.97546089996,1273146,79,46.88,45.39,99.85,NA
2024-2025,Oct,15,KARNATAKA,1505,BALLARI,5215849,282.94664804143,50,2025,1233.775680245,8292,0,9509,5100248,1006403,69666,1594478,97917,389.64712,16054.4035580451,100491,217631,115868,332971,849,169807,478661,17801,14430.9807578001,2759629,43,39.41,33.76,99.91,NA
2024-2025,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,1797371,347.881596021682,30,378,2317.800174108,15298,0,19459,1567698,489317,79537,138250,29301,203.34756,7974.88055730798,51142,80335,115885,273369,103,223542,513306,34757,5453.73282319998,900745,74,23.22,49.08,100.34,NA
2024-2025,Oct,15,KARNATAKA,1510,CHITRADURGA,3505461,348.01709799128,38,371,5139.345463327,36265,0,28806,3928472,773019,88576,966488,87550,537.18699,19348.286703127,102413,169786,173128,415770,295,333079,780588,65071,13671.7542498,2154133,66,27.29,43.6,101.2,NA
2024-2025,Oct,15,KARNATAKA,1512,DAVANAGERE,2257322,339.302381514295,31,224,3261.216950967,12414,0,11991,1613528,412429,64588,295906,43958,490.73691,9226.69279136698,50794,86625,119739,280290,229,238548,521779,24405,5474.73893039998,860297,76,35.6,34.84,99.9,NA
2024-2025,Oct,15,KARNATAKA,1513,DHARWAR,1771830,344.291585678447,32,170,2319.751514751,14266,0,29560,1282738,112495,19248,81150,14920,220.58956,6956.70007505099,39475,68978,83606,218232,122,170284,404499,43826,4416.35900029999,598890,74,35.95,29.39,100.01,NA
2024-2025,Oct,15,KARNATAKA,1524,SHIVAMOGGA,2164752,326.93251970646,24,459,1644.583895382,11224,0,13079,1657832,383922,83759,92119,18598,388.90022,7453.476045482,67174,113416,145487,372423,103,248082,569210,24303,5419.9919301,911092,76,36.95,42.54,100,NA
2024-2025,Oct,15,KARNATAKA,1531,VIJAYANAGARA,5791425,307.538059949441,43,1232,4244.515151481,15466,0,18657,5614065,1364799,115077,1269293,93607,81.19368,21591.0954167816,129160,247762,174205,460205,1342,250512,646271,34123,17265.3865853006,2917989,53,14.37,63.77,100.14,NA
2024-2025,Oct,15,KARNATAKA,1501,BAGALKOTE,3532881,320.600726496824,30,1865,2118.038992353,9719,0,18137,2660631,449211,58896,216629,25947,503.65461,11151.6959177527,86197,146144,152958,336933,294,274350,556215,27856,8530.00231539972,1473973,58,32.11,48.68,100,NA
2024-2025,Oct,15,KARNATAKA,1502,BENGALURU,65230,322.149626448105,34,12,48.205531238,945,3,1846,38067,7340,2703,652,282,26.67756,197.515789538,1106,1876,5955,13471,11,62723,140408,2791,122.6326983,21170,85,49.21,23.19,100.17,NA
2024-2025,Oct,15,KARNATAKA,1511,DAKSHINA KANNADA,952227,348.367065474208,40,47,671.300624854,8843,0,12295,699619,36007,10511,41207,10567,259.46005,3368.002854654,17456,29618,65115,151430,177,170110,357482,21138,2437.2421798,365928,90,71.52,3.29,99.94,NA
2024-2025,Oct,15,KARNATAKA,1512,DAVANAGERE,2257322,339.073496110245,31,223,3256.090690967,12302,0,12079,1606657,410852,64575,294926,43951,490.73691,9194.57566136698,50685,86423,119714,280242,227,238546,521777,24381,5447.74806039998,856986,76,35.58,34.86,99.9,NA
2024-2025,Oct,15,KARNATAKA,1514,GADAG,2572394,331.057341199476,29,1102,1933.300479943,12645,0,11988,2608225,408744,55823,223723,25825,348.48809,10916.508907443,87223,184505,122382,310698,85,164925,392979,24633,8634.72033750003,1301346,66,17.27,69.08,99.89,NA
2024-2025,Oct,15,KARNATAKA,1517,HAVERI,3367794,335.950016875091,37,441,3201.906211752,22855,0,23490,2907243,421804,54596,392895,43914,417.85536,13386.6449208519,77250,142829,154353,375300,366,272721,620093,46345,9766.88334909991,1425539,68,34.35,36.26,100.17,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,274.25264212598,40,1040,3793.115381863,21316,0,30984,9163719,1618087,124569,2193915,153727,701.23845,29626.0953063634,229071,449304,282093,655871,590,372120,835310,52300,25131.7414745004,4792895,56,22.85,59.33,99.82,NA
2024-2025,Oct,15,KARNATAKA,1525,TUMAKURU,3264154,347.35161322175,36,451,6328.92120176,44123,0,44977,3354170,467550,79064,278816,40527,679.69366,18659.37846696,91174,158039,211715,503696,638,398723,879681,89100,11650.7636052,1724892,84,39.44,34.86,99.84,NA
2024-2025,Oct,15,KARNATAKA,1526,UDUPI,526386,348.893708479324,33,37,927.60263442,7513,0,11065,468351,21374,6141,18203,6251,135.0927,2696.74250702,13910,23317,45679,109015,121,123690,251645,18578,1634.0471726,302400,90,68.09,6.51,99.93,NA
2024-2025,Oct,15,KARNATAKA,1503,BENGALURU RURAL,1035511,349.786750371568,42,408,2145.166316071,5212,0,8893,1037494,146863,25146,61316,8322,246.02023,6020.203093971,24658,41373,58461,136973,171,120576,262848,14105,3629.0165479,538055,65,47.99,15.64,99.88,NA
2024-2025,Oct,15,KARNATAKA,1516,HASSAN,3205158,345.073318562213,34,408,2970.72301833901,17833,2,28967,2413042,337200,69066,38647,6876,557.62345,11855.110576039,70804,129691,162479,400794,272,280334,647267,46800,8326.7641077,1229144,78,55.14,20.88,99.9,NA
2024-2025,Oct,15,KARNATAKA,1530,Yadgir,3255057,336.569636029416,27,497,769.450584522,19037,0,27782,2433356,460888,65628,301692,36306,0,8959.38801702196,87140,133892,153952,306262,106,274140,544716,46819,8189.93743249996,1298437,79,47.57,44.83,99.85,NA
2024-2025,Oct,15,KARNATAKA,1503,BENGALURU RURAL,1035511,349.174364090511,42,414,2145.846316071,5234,0,8936,1050519,148410,25184,62382,8325,246.02023,6060.009583971,24833,41707,58502,137083,183,120622,262897,14170,3668.1430379,544994,65,48.11,15.61,99.88,NA
2024-2025,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,1797371,346.758930367729,30,381,2322.484374108,15368,0,19468,1584208,492867,79563,140189,29325,203.34756,8019.21464970798,51475,80912,115943,273490,104,223555,513324,34836,5493.38271559999,909607,74,23,49.43,100.34,NA
2024-2025,Oct,15,KARNATAKA,1515,KALABURAGI,4296404,325.249742035952,25,539,3436.64769386,21633,0,33731,3545339,889282,137788,77980,10834,561.86826,15529.72190566,141610,237866,244931,533275,122,425377,884386,55364,11531.2059518,1967524,63,29,54.17,99.88,NA
2024-2025,Oct,15,KARNATAKA,1520,KOPPAL,5947819,306.487349120643,34,3208,2783.799942575,17021,0,25351,6039279,1057757,97927,890732,80276,683.45976,21976.8858156747,177334,367263,224039,575903,285,325265,844305,42372,18509.6261130997,3184251,57,28.97,58.51,99.87,NA
2024-2025,Oct,15,KARNATAKA,1521,MANDYA,1736350,339.661693606088,26,288,2296.233296527,12426,0,25954,1317957,163509,39746,8884,2459,362.60121,7135.429573727,48956,73154,140106,341302,92,347044,748956,38380,4476.5950672,803404,71,38.29,32.41,100.01,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,274.307089070485,40,1041,3814.720381863,21439,0,31180,9244432,1638326,124670,2212853,153773,701.23845,29874.0911521634,229662,450419,282221,656170,605,372181,835451,52619,25358.1323203004,4834155,56,23.02,59.18,99.83,NA
2024-2025,Oct,15,KARNATAKA,1506,BIDAR,3550396,345.089377543641,39,480,6186.150185637,19643,0,46299,4242932,988124,78972,767403,53129,454.47105,21282.528864037,107932,167829,155050,304293,283,255392,477172,65942,14641.9076284,2305755,60,37.01,27.72,99.76,NA
2024-2025,Oct,15,KARNATAKA,1512,DAVANAGERE,2257322,339.090348202299,31,224,3261.216950967,12422,0,12009,1615871,413097,64588,296242,43960,490.73691,9231.21646136698,50843,86704,119748,280301,229,238551,521783,24431,5479.26260039998,861458,76,35.59,34.8,99.89,NA
2024-2025,Oct,15,KARNATAKA,1519,KOLAR,2900527,344.10094330022,40,432,4354.969014174,14293,0,26004,2482126,637070,85833,165990,21960,504.70578,13400.693774074,60547,95046,127594,319775,322,243457,581983,40297,8541.01897990001,1330951,64,41.3,27.92,99.86,NA
2024-2025,Oct,15,KARNATAKA,1522,MYSURU,1648728,347.03251165005,34,118,3173.82012249301,19778,0,30216,1468234,264636,70674,173790,41935,385.57388,8654.64332959301,42979,75944,142496,364552,307,346660,846662,49994,5095.2493271,754429,80,38.15,20.78,100.05,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,274.48565905338,40,1038,3807.325381863,21364,0,31149,9226453,1635805,124661,2208120,153773,701.23845,29833.8541561634,229488,450096,282212,656134,598,372170,835422,52513,25325.2903243004,4825009,56,23,59.23,99.82,NA
